"","Accuracy","Kappa","mtry","splitrule","min.node.size"
"1",0.8228,0.108308511567634,2,"gini",1
"23",0.8217,0.0978866362757841,2,"gini",6
"45",0.8213,0.0964417705008615,2,"gini",11
"67",0.8233,0.111107802149399,2,"gini",16
"2",0.8216,0.136391642904527,3,"gini",1
"24",0.8222,0.137180363661493,3,"gini",6
"46",0.8218,0.128274888290041,3,"gini",11
"68",0.8221,0.126223949538476,3,"gini",16
"3",0.8232,0.149869864694673,4,"gini",1
"25",0.8234,0.14458076901317,4,"gini",6
"47",0.8213,0.135204466313237,4,"gini",11
"69",0.8233,0.145930054619876,4,"gini",16
"4",0.8221,0.14639986104407,5,"gini",1
"26",0.8235,0.155170766553531,5,"gini",6
"48",0.8221,0.138019419613309,5,"gini",11
"70",0.8215,0.138811272010006,5,"gini",16
"5",0.8224,0.1623457037013,6,"gini",1
"27",0.8209,0.144281824545953,6,"gini",6
"49",0.8238,0.148086046210289,6,"gini",11
"71",0.8218,0.144180349535572,6,"gini",16
"6",0.8211,0.155457556950674,7,"gini",1
"28",0.8215,0.15278741010766,7,"gini",6
"50",0.8211,0.148329325863387,7,"gini",11
"72",0.8212,0.139729155175539,7,"gini",16
"7",0.8202,0.152475582057899,8,"gini",1
"29",0.8217,0.15373666791146,8,"gini",6
"51",0.8216,0.153516436964685,8,"gini",11
"73",0.8227,0.158482956930465,8,"gini",16
"8",0.8218,0.158007022467131,9,"gini",1
"30",0.823,0.159654290320927,9,"gini",6
"52",0.8214,0.153584668451627,9,"gini",11
"74",0.8204,0.147310229048805,9,"gini",16
"9",0.8203,0.157723474195216,10,"gini",1
"31",0.8221,0.160680084084853,10,"gini",6
"53",0.8219,0.15721877843381,10,"gini",11
"75",0.8209,0.150450275584254,10,"gini",16
"10",0.8212,0.159196937144422,11,"gini",1
"32",0.8204,0.154427841433186,11,"gini",6
"54",0.8221,0.1530899221414,11,"gini",11
"76",0.8218,0.156998164129335,11,"gini",16
"11",0.8213,0.160916416381541,12,"gini",1
"33",0.8207,0.158599451480049,12,"gini",6
"55",0.8232,0.169590946512263,12,"gini",11
"77",0.8222,0.161902994938234,12,"gini",16
"12",0.8216,0.171926911224252,13,"gini",1
"34",0.8215,0.165823767022102,13,"gini",6
"56",0.8196,0.149647358193798,13,"gini",11
"78",0.8184,0.138850331049453,13,"gini",16
"13",0.8204,0.162912512612243,14,"gini",1
"35",0.8218,0.168456057149001,14,"gini",6
"57",0.8215,0.156841787242227,14,"gini",11
"79",0.821,0.155237996356669,14,"gini",16
"14",0.819,0.157878516392243,15,"gini",1
"36",0.8203,0.155718888687385,15,"gini",6
"58",0.8208,0.159318522577365,15,"gini",11
"80",0.8211,0.157472330336403,15,"gini",16
"15",0.8218,0.166979244226727,16,"gini",1
"37",0.8214,0.168554875750628,16,"gini",6
"59",0.8193,0.153036348286453,16,"gini",11
"81",0.8205,0.153131394565661,16,"gini",16
"16",0.8212,0.170557808224059,17,"gini",1
"38",0.8214,0.168064405416656,17,"gini",6
"60",0.8202,0.155500295152177,17,"gini",11
"82",0.8235,0.172722277103259,17,"gini",16
"17",0.8193,0.162481856863469,18,"gini",1
"39",0.8202,0.159001953285786,18,"gini",6
"61",0.8194,0.165638884073885,18,"gini",11
"83",0.8209,0.152486710934842,18,"gini",16
"18",0.8219,0.173076369484892,19,"gini",1
"40",0.8209,0.169410102162094,19,"gini",6
"62",0.8187,0.150224072741195,19,"gini",11
"84",0.8202,0.159499821054801,19,"gini",16
"19",0.8208,0.163789705056683,20,"gini",1
"41",0.8204,0.163899527910486,20,"gini",6
"63",0.8193,0.158034069659798,20,"gini",11
"85",0.8192,0.154825181572347,20,"gini",16
"20",0.8182,0.157630734968574,21,"gini",1
"42",0.8217,0.167251256595902,21,"gini",6
"64",0.821,0.167183726155865,21,"gini",11
"86",0.8188,0.156947995415881,21,"gini",16
"21",0.8195,0.164879369716647,22,"gini",1
"43",0.8214,0.170998578165086,22,"gini",6
"65",0.8217,0.166264996241412,22,"gini",11
"87",0.8183,0.149863089123357,22,"gini",16
"22",0.8182,0.159603266175557,23,"gini",1
"44",0.8198,0.160611454961262,23,"gini",6
"66",0.8191,0.158591658252584,23,"gini",11
"88",0.8205,0.164118664415298,23,"gini",16
